Retailer,Address,Latitude,Longitude,Easting,Northing,Category
The Money Shop, LS8 4HS,53.817005,-1.517327,431876,435744,Lender
The Money Shop, LS12 3AB,53.797365,-1.589574,427132,433529,Lender
The Money Shop, LS13 2ET,53.811767,-1.626399,424698,435118,Lender
The Money Shop, LS15 7JX,53.804341,-1.452392,436162,434366,Lender
The Money Shop, WF13 1AA,53.691989,-1.628352,424639,421791,Lender
The Money Shop, BD1 1NF,53.793355,-1.753149,416359,433033,Lender
The Money Shop, WF1 1HA,53.683357,-1.498961,433190,420883,Lender
The Money Shop, BD1 3JS,53.796114,-1.757156,416094,433339,Lender
H&T Pawnbrokers - Leeds, LS1 6DG,53.796515,-1.540865,430341,433454,Pawnbroker
H & T Pawnbrokers, LS1 6DG,53.796515,-1.540865,430341,433454,Pawnbroker
Herbert Brown Jewellers, LS1 6BY,53.797108,-1.54095,430335,433520,Pawnbroker
Herbert Brown Jewellers, LS2 8NG,53.801704,-1.544088,430125,434030,Pawnbroker
Convert 2 Cash, LS2 8JD,53.800184,-1.541569,430292,433862,Pawnbroker
Herbert Brown, LS1 6PU,53.798861,-1.541083,430325,433715,Pawnbroker
Herbert Brown Jewellers, LS1 6DS,53.797295,-1.540538,430362,433541,Pawnbroker
Ramsdens, LS27 9BP,53.745076,-1.601228,426397,427707,Pawnbroker
Ramsdens, LS2 8JD,53.800184,-1.541569,430292,433862,Pawnbroker
Ramsdens 4 Cash, LS1 6BY,53.797108,-1.54095,430335,433520,Pawnbroker
Poundworld, LS1 6BY,53.797108,-1.54095,430335,433520,Pawnbroker
H&T Pawnbrokers - Leeds, LS1 6DG,53.796515,-1.540865,430341,433454,Pawnbroker
Log Book Loans, LS12 3AB,53.797365,-1.589574,427132,433529,Lender
Cash Direct, LS9 6AX,53.809413,-1.509305,432410,434903,Lender
Cash Xpress, LS11 7PA,53.77499,-1.560522,429061,431051,Lender
Loans 2 Go, LS3 1LH,53.800001,-1.567109,428610,433831,Lender
Wisecash, LS14 1AB,53.827163,-1.460618,435601,436901,Lender
Cash4UNow, LS14 1AB,53.827163,-1.460618,435601,436901,Lender
Loans 2 Go, LS15 8EQ,53.807484,-1.446004,436580,434719,Lender
Loans 2go, LS15 8EQ,53.807484,-1.446004,436580,434719,Lender
H & T Pawnbrokers, BD1 3PZ,53.795672,-1.75643,416142,433290,Pawnbroker
Browns Jewellers & Pawnbrokers Ltd, LS15 8DX,53.807199,-1.450396,436291,434685,Pawnbroker
Browns Jewellers & Pawnbrokers Ltd, LS15 8DX,53.807199,-1.450396,436291,434685,Pawnbroker
Loans 2 Go, BD4 8JH,53.790987,-1.711193,419124,432780,Lender
Loans 2 Go, WF1 3BX,53.68534,-1.500406,433093,421103,Lender
Loans 2 Go, BD17 7DH,53.835167,-1.775955,414842,437680,Lender
Loans 2 Go, BD17 7DH,53.835167,-1.775955,414842,437680,Lender
Automoney, WF1 5JF,53.671784,-1.482872,434262,419603,Lender
Cheque Change, WF13 1QL,53.692386,-1.628743,424613,421835,Lender
Tim Hogarth Pawn Brokers & Jewellers, BD1 1PZ,53.794365,-1.754525,416268,433145,Pawnbroker
Cheque Centre, LS13 2ET,53.811767,-1.626399,424698,435118,Lender
Cheque Centre, LS15 8ET,53.806284,-1.450803,436265,434583,Lender
Cheque Centre, WF13 1QH,53.692259,-1.628396,424636,421821,Lender
Cheque Centre, WF5 8BJ,53.679689,-1.578259,427955,420441,Lender
Cheque Centre, WF1 1UT,53.682331,-1.494446,433489,420771,Lender
Cheque Centre, WF10 1BA,53.726528,-1.350977,442920,425765,Lender
The Cash Store, LS1 5DL,53.795488,-1.545112,430062,433338,Lender
Convert 2 Cash, LS2 8JD,53.800184,-1.541569,430292,433862,Pawnbroker
Cash Converters, LS14 6AX,53.808007,-1.468107,435124,434766,Pawnbroker
Cash Converters, LS12 3AB,53.797365,-1.589574,427132,433529,Pawnbroker
Cash Express, LS11 7LR,53.77557,-1.561761,428979,431115,Pawnbroker
Cash Converters, LS13 2ET,53.811767,-1.626399,424698,435118,Pawnbroker
Cash Converters, LS11 5HZ,53.775552,-1.545009,430083,431120,Pawnbroker
Cash Converters, LS9 7SU,53.802138,-1.526076,431311,434086,Pawnbroker
Cash Generators, LS15 8ET,53.806284,-1.450803,436265,434583,Pawnbroker
Cash Generators, LS1 6BY,53.797108,-1.54095,430335,433520,Pawnbroker
Cash Generators, LS12 1UX,53.796898,-1.589761,427120,433477,Pawnbroker
Cash Conversions, LS9 6AA,53.810452,-1.510538,432328,435018,Pawnbroker
Cash Converters, LS8 5RL,53.817064,-1.516384,431938,435751,Pawnbroker
Cash Converters, LS2 7LY,53.798995,-1.538485,430496,433731,Pawnbroker
Provident,LS13 2BW,53.806896,-1.623526,424890,434577,Lender
Brighthouse,LS2 8NG,53.801704,-1.544088,430125,434030,Hire Purchase
Brighthouse,LS13 2ET,53.811767,-1.626399,424698,435118,Hire Purchase
Brighthouse,LS15 8EU,53.806015,-1.450959,436255,434553,Hire Purchase
PerfectHome,LS1 6BY,53.797108,-1.54095,430335,433520,Hire Purchase
Cash Express, LS11 7LR,53.77557,-1.561761,428979,431115,Pawnbroker
Herbert Brown, LS15 8EU,53.806015,-1.450959,436255,434553,Pawnbroker
Albemarle Bond, LS13 2ET,53.811767,-1.626399,424698,435118,Pawnbroker
H&T Pawnbrokers,LS1 6DG,53.796515,-1.540865,430341,433454,Pawnbroker
Cash Converters (UK),LS12 3AB,53.797365,-1.589574,427132,433529,Pawnbroker
Cash Express,LS11 7LR,53.77557,-1.561761,428979,431115,Pawnbroker
M Waterman Jewellers,LS2 8JD,53.800184,-1.541569,430292,433862,Pawnbroker
John Ramsden,LS9 7BG,53.809461,-1.510048,432361,434908,Pawnbroker
Cash For Clothes Leeds,LS11,53.775658,-1.556758,429309,431127,Pawnbroker
No 8,LS1 6DG,53.794636,-1.546901,429945,433242,Pawnbroker
Cash Converters (UK),LS14 6AX,53.808007,-1.468107,435124,434766,Pawnbroker
Cash Converters (UK),LS13 2ET,53.811767,-1.626399,424698,435118,Pawnbroker
victoryonlinefamilyshoppiing.com,LS2 9EL,53.811118,-1.554632,429424,435073,Hire Purchase
Cash4UNow,LS14 1EY,53.824634,-1.462018,435511,436619,Lender
Leeds Payday Loans and Cash Advance, LS1 3AJ,53.800996,-1.55187,429613,433948,Lender
